# log10 body weight (kg), log10 brain weight (g)
0.52956,1.6484
-0.31876,1.1903
0.13033,0.90849
2.6675,2.6263
1.5603,2.0774
1.4419,2.0607
1.1711,1.9921
0.017033,0.74036
0.62221,1.7634
-0.37161,0.80618
-0.99568,0.60206
-0.036212,0.75587
0,0.81954
-2.301,-0.85387
-1.2218,0
0.54407,1.0334
0.30103,1.0899
0.23045,0.79934
3.406,3.663
-1.6383,-0.52288
2.2721,2.6222
2.7168,2.8162
-0.10513,0.54407
1,2.0607
0.51851,1.4082
-0.69897,0.69897
0.14922,1.243
2.7235,2.8325
2.316,2.6085
1.9294,2.5119
-0.12494,1.0899
1.7924,3.1206
3.8231,3.7568
0.54407,0.59106
0.83251,2.2529
1.5441,1.7482
0.60746,1.2304
-0.92082,0
-1.6383,-0.39794
-2,-0.60206
0.14613,1.0969
2.3979,2.6902
0.39794,1.0828
1.7443,2.243
2,2.1959
1.7173,2.6435
1.0233,2.2541
-0.25964,0.38021
1.7782,1.9085
0.5563,1.3222
0.63225,1.5933
-0.55284,0.27875
-1.1249,0.079181
-0.91364,0.47712
-1.3188,-0.48149
2.2833,2.2553
0.47712,1.3979
2.2041,2.2279
-0.045757,0.41497
0.20952,1.0569
-0.98297,0.39794
0.62685,1.7024
